timestamp_utc,timestamp_local,tarea,modelo,franja,tokens_entrada,tokens_entrada_cache_hit,tokens_salida,tokens_total,latencia_seg,costo_usd,exito,error,pregunta
2026-09-20T07:53:08+00:00,2026-09-20T03:53:08-04:00,tarea1,deepseek-chat,valle,1644,0,147,1791,2.474,0.0003348,True,,¿Qué tipos de adelantos puede entregar la entidad al contratista?
2026-09-20T07:53:11+00:00,2026-09-20T03:53:11-04:00,tarea1,deepseek-chat,valle,1594,128,341,1935,2.228,0.00042488,True,,"Me piden una carta fianza, ¿eso qué es y para qué la quieren?"
2026-09-20T07:53:13+00:00,2026-09-20T03:53:13-04:00,tarea1,deepseek-chat,valle,1399,128,159,1558,1.381,0.00028643,True,,¿Se puede aprobar una prestación adicional de obra en vía de regularización?
2026-09-20T07:53:14+00:00,2026-09-20T03:53:14-04:00,tarea1,deepseek-chat,valle,1639,128,134,1773,1.364,0.00030743,True,,¿Qué plazo exacto tiene el comité de selección para absolver consultas y observaciones?
2026-09-20T08:09:33+00:00,2026-09-20T04:09:33-04:00,tarea1,deepseek-chat,valle,1644,1408,204,1848,3.074,0.00016202,True,,¿Qué tipos de adelantos puede entregar la entidad al contratista?
2026-09-20T08:09:36+00:00,2026-09-20T04:09:36-04:00,tarea1,deepseek-chat,valle,1594,1408,235,1829,1.971,0.00017312,True,,"Me piden una carta fianza, ¿eso qué es y para qué la quieren?"
2026-09-20T08:09:38+00:00,2026-09-20T04:09:38-04:00,tarea1,deepseek-chat,valle,1399,1152,149,1548,1.338,0.00012991,True,,¿Se puede aprobar una prestación adicional de obra en vía de regularización?
2026-09-20T08:09:39+00:00,2026-09-20T04:09:39-04:00,tarea1,deepseek-chat,valle,1639,1408,134,1773,1.417,0.00011927,True,,¿Qué plazo exacto tiene el comité de selección para absolver consultas y observaciones?
2026-09-20T08:17:09+00:00,2026-09-20T04:17:09-04:00,tarea2_enlace,deepseek-chat,valle,1673,128,148,1821,2.809,0.00032093,True,,¿Que exige la ley para un procedimiento de «Adjudicacion Simplificada» para la contratacion de obras? ¿Que requisitos y plazos aplican?
2026-09-20T08:17:11+00:00,2026-09-20T04:17:11-04:00,tarea2_enlace,deepseek-chat,valle,1678,128,142,1820,1.422,0.00031808,True,,¿Que exige la ley para un procedimiento de «Contratacion Directa» para la contratacion de bienes? ¿Que requisitos y plazos aplican?
2026-09-20T08:17:49+00:00,2026-09-20T04:17:49-04:00,tarea2_enlace,deepseek-chat,valle,1531,128,144,1675,2.752,0.00029723,True,,¿Que dice la Ley sobre el procedimiento de seleccion «Adjudicacion Simplificada»? ¿En que supuestos procede una contratacion de obras por esa via?
2026-09-20T08:17:51+00:00,2026-09-20T04:17:51-04:00,tarea2_enlace,deepseek-chat,valle,1548,128,120,1668,1.574,0.00028538,True,,¿Que dice la Ley sobre el procedimiento de seleccion «Contratacion Directa»? ¿En que supuestos procede una contratacion de bienes por esa via?
2026-09-20T08:19:09+00:00,2026-09-20T04:19:09-04:00,tarea2_enlace,deepseek-chat,valle,1218,128,220,1438,2.904,0.00029588,True,,"¿Que dice la Ley sobre licitación pública, procedimiento de selección competitivo para bienes y obras? ¿En que supuestos procede una contratacion de obras por e"
2026-09-20T08:19:11+00:00,2026-09-20T04:19:11-04:00,tarea2_enlace,deepseek-chat,valle,1494,128,384,1878,2.479,0.00043568,True,,"¿Que dice la Ley sobre contratar directamente, procedimiento de selección no competitivo? ¿En que supuestos procede una contratacion de bienes por esa via?"
2026-09-20T08:19:14+00:00,2026-09-20T04:19:14-04:00,tarea2_enlace,deepseek-chat,valle,1471,128,393,1864,2.413,0.00043763,True,,¿Que dice la Ley sobre procedimientos de seleccion competitivos y no competitivos? ¿En que supuestos procede una contratacion de obras por esa via?
2026-09-20T08:22:35+00:00,2026-09-20T04:22:35-04:00,tarea1,deepseek-chat,valle,1644,1408,199,1843,3.012,0.00015902,True,,¿Qué tipos de adelantos puede entregar la entidad al contratista?
2026-09-20T08:22:38+00:00,2026-09-20T04:22:38-04:00,tarea1,deepseek-chat,valle,1594,1408,243,1837,2.029,0.00017792,True,,"Me piden una carta fianza, ¿eso qué es y para qué la quieren?"
2026-09-20T08:22:40+00:00,2026-09-20T04:22:40-04:00,tarea1,deepseek-chat,valle,1399,1152,149,1548,1.553,0.00012991,True,,¿Se puede aprobar una prestación adicional de obra en vía de regularización?
2026-09-20T08:22:42+00:00,2026-09-20T04:22:42-04:00,tarea1,deepseek-chat,valle,1639,1408,135,1774,1.674,0.00011987,True,,¿Qué plazo exacto tiene el comité de selección para absolver consultas y observaciones?
2026-09-22T01:56:54+00:00,2026-09-21T21:56:54-04:00,tarea1,deepseek-chat,pico,1644,1408,199,1843,2.939,0.00031805,True,,¿Qué tipos de adelantos puede entregar la entidad al contratista?
2026-09-22T01:56:57+00:00,2026-09-21T21:56:57-04:00,tarea1,deepseek-chat,pico,1594,1408,234,1828,1.661,0.00034505,True,,"Me piden una carta fianza, ¿eso qué es y para qué la quieren?"
2026-09-22T01:56:59+00:00,2026-09-21T21:56:59-04:00,tarea1,deepseek-chat,pico,1399,1152,149,1548,1.499,0.00025981,True,,¿Se puede aprobar una prestación adicional de obra en vía de regularización?
2026-09-22T01:57:00+00:00,2026-09-21T21:57:00-04:00,tarea1,deepseek-chat,pico,1639,1408,135,1774,1.536,0.00023975,True,,¿Qué plazo exacto tiene el comité de selección para absolver consultas y observaciones?
2026-09-22T02:04:10+00:00,2026-09-21T22:04:10-04:00,tarea1,deepseek-chat,pico,1643,128,215,1858,3.118,0.00071327,True,,qué tipo de adelantos puede entregar la entidad al contratista?
2026-09-22T02:06:19+00:00,2026-09-21T22:06:19-04:00,tarea1,deepseek-chat,pico,1619,384,126,1745,1.816,0.000524,True,,que plazo exacto tiene el comite de seleccion para absolver consultas y observaciones?
2026-09-22T02:25:10+00:00,2026-09-21T22:25:10-04:00,tarea2_enlace,deepseek-chat,pico,1218,1024,269,1487,2.164,0.00038714,True,,"¿Que dice la Ley sobre licitación pública, procedimiento de selección competitivo para bienes y obras? ¿En que supuestos procede una contratacion de obras por e"
2026-09-22T02:25:57+00:00,2026-09-21T22:25:57-04:00,tarea2_enlace,deepseek-chat,pico,1405,128,268,1673,2.013,0.00070547,True,,"¿Que dice la Ley sobre concurso público, procedimiento de selección competitivo para servicios? ¿En que supuestos procede una contratacion de servicios por esa "
